Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Metrics for assessment of smart grid data integrity attacks,A. Giani; R. Bent; M. Hinrichs; M. McQueen; K. Poolla,"CNLS, Los Alamos National Laboratory",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"There is an emerging consensus that the nation's electricity grid is vulnerable to cyber attacks. This vulnerability arises from the increasing reliance on using remote measurements, transmitting them over legacy data networks to system operators who make critical decisions based on available data. Data integrity attacks are a class of cyber attacks that involve a compromise of information that is processed by the grid operator. This information can include meter readings of injected power at remote generators, power flows on transmission lines, and relay states. These data integrity attacks have consequences only when the system operator responds to compromised data by re-dispatching generation under normal or contingency protocols. These consequences include (a) financial losses from sub-optimal economic dispatch to service loads, (b) robustness/resiliency losses from placing the grid at operating points that are at greater risk from contingencies, and (c) systemic losses resulting from cascading failures induced by poor operational choices. This paper is focussed on understanding the connections between grid operational procedures and cyber attacks. We first offer an example to illustrate how data integrity attacks can cause economic and physical damage by misleading operators into taking inappropriate decisions. We then focus on unobservable data integrity attacks involving power meter data. These are coordinated attacks where the compromised data is consistent with the physics of power flow, and is therefore passed by any bad data detection algorithm. We develop metrics to assess the economic impact of these attacks under operator re-dispatch decisions using optimal power flow methods. These metrics can be used to prioritize the adoption of appropriate countermeasures including PMU placement, encryption, hardware upgrades, and advanced detection algorithms.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345468,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345468,,Detection algorithms;Economics;Generators;Load flow;Phasor measurement units;Reliability,data integrity;failure analysis;load flow;phasor measurement;power system reliability;power system security;smart power grids,PMU placement;advanced detection algorithms;cascading failures;contingency protocols;coordinated attacks;cyber attacks;data detection algorithm;encryption;grid operational procedures;legacy data networks;nation electricity grid;optimal power flow methods;phasor measurement unit;power meter data;redispatching generation;relay states;remote generators;remote measurements;robustness-resiliency losses;smart grid data integrity attack assessment;suboptimal economic dispatch;systemic losses;transmission lines,,6,,24,,,,22-26 July 2012,,IEEE,IEEE Conferences
Cyber attacks on power system state estimation through topology errors,A. Ashok; M. Govindarasu,"Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, 50011, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"The exposure of SCADA network infrastructure to cyber threats has increased enormously due to increased interconnectivity of SCADA and public network infrastructures. The number and complexity of cyber attacks on key power system operational functions like Automatic Generation Control (AGC), State Estimation (SE), and Energy Management Systems (EMS) are increasing everyday. This paper discusses the effect of intentional topology errors created on the power system state estimation function through cyber attacks. The paper provides a method by which an unobservable topology error can be created through a cyber attack. Also, it describes the impact of such an unobservable attack through System Operating Limit (SOL) violations using the IEEE 14 bus power system model.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345091,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345091,Cyber attack;Observability;State Estimation;Topology errors,Matrices;Network topology;Power systems;Security;Standards;State estimation;Topology,SCADA systems;power engineering computing;power system security;power system state estimation;security of data,AGC;EMS;IEEE 14-bus power system model;SCADA interconnectivity;SCADA network infrastructure;SOL violation;automatic generation control;cyber attacks;cyber threats;energy management systems;intentional topology errors;power system operational functions;power system state estimation;public network infrastructures;system operating limit,,15,,23,,,,22-26 July 2012,,IEEE,IEEE Conferences
"Smart grid security, privacy, and resilient architectures: Opportunities and challenges",S. M. Amin,University of Minnesota,2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,2,"Any complex dynamic infrastructure network typically has many layers, decision-making units and is vulnerable to various types of disturbances. Cyber connectivity has increased the complexity of the control systems and facilities it is intended to safely and reliably control. Thus, in order to defend electric infrastructure against the impacts of cyber-physical attacks, significant challenges must be overcome before extensive deployment and implementation of smart grid technologies can begin. Cyber security and interoperability are two of the key challenges of the smart grid transformation. As for security, it must be built-in as part of its design and NOT glued on as afterthought. Regarding recent cyber threat reports, it is fundamental to separate hype from the truth. What is most concerning about such reports is mainly one piece from an early article: The response to the alert was mixed. An audit of 30 utility companies that received the alert showed that only seven were in full compliance, although all of the audited companies had taken some precautions. This is the reality that needs to be addressed. A key challenge is to enable secure and very high-confidence sensing, communications, and control of a heterogeneous, widely dispersed, yet globally interconnected system. It is even more complex and difficult to control it for optimal efficiency and maximum benefit to the ultimate consumers while still allowing all its business components to compete fairly and freely. In the electric power industry and other critical infrastructures, new ways are being sought to improve network efficiency by eliminating congestion problems without seriously diminishing reliability and security. Effective, intelligent, hierarchically distributed control is required within a layered defense architecture that would enable parts of the networks to remain operational and even automatically reconfigure in the event of local failures or threats of failure. Sensing, communication and con- rol systems are needed across broad temporal, geographical, and industry scalesfrom devices to power-system-wide, from fuel sources to consumers, from utility pricing to demand response, and so on. With increased deployment of feedback and communication, opportunities arise for reducing consumption, for better exploiting renewable sources, and for increasing the reliability and performance of the transmission and distribution networks. At the same time, however, closing loops where they have never been closed before, across multiple temporal and spatial scales, creates control challenges as well. Societal and governmental visions for the smart grid will require the engagement of the controls community for their realization. Feedback, optimization, estimation, dynamics, stability... these and other control system concepts are core to smart grid technology. In many ways, the smart grid is a control problem! Another major strategic goal is to enable real-time demand management and responseto make is possible for customers to modify consumption in reaction to hourly changes in electricity prices and availability. We see inexpensive but advanced two-way secure wireless communications as essential: Dynamic modeling of energy flows, their optimization and control depend on the availability of trustworthy data streams from sensors and monitors distributed throughout the electricity delivery system, for example on power lines and local distribution transformers. Drawing on those inputs and the even more ubiquitous data transmitted securely and wirelessly from substations, operations engineers will be able to spot potential problems and make adjustments before problems arise. As these systems are put in place, they will provide the opportunity to investigate the whole range of issues that arise in connection with the smart grid, from hybrid vehicle integration and electricity market design to system automation and security. If the smart grid is to fulfill its promise, it nee",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345767,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345767,,Control systems;Educational institutions;Industries;Reliability;Security;Sensors;Smart grids,data privacy;decision making;demand side management;distributed power generation;power system interconnection;power system security;power transformers;smart power grids;substations;transmission networks,Lawrence Berkeley Laboratory;University of Minnesota;backup energy storage;complex dynamic infrastructure network;complex networks;control systems;cyber connectivity;cyber security;cyber-physical attacks;decision-making units;distribution networks;distribution transformers;electric power industry;globally interconnected system;hybrid vehicle integration;interoperability;microgrids;power lines;power-system-wide;privacy;real-time demand management;renewable sources;resilient architectures;smart grid security;substations;transmission networks;two-way secure wireless communications;utility pricing,,11,,,,,,22-26 July 2012,,IEEE,IEEE Conferences
The risk of too much data,K. Elkinson; A. McGrail,"Doble Engineering Company, Watertown, MA, 02452, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,5,"The digital age has made it possible to store incredible amounts of data in relatively small spaces. This is a fantastic development, but it comes with a price. Increasingly, there is a need to automate the process of analyzing this vast amount of data, and to point out anomalies and trends.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345369,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345369,Asset Management;Condition Monitoring;Data;Risk;Testing,Cellular phones;Condition monitoring;Data mining;Insulators;Market research;Monitoring;Reactive power,asset management;condition monitoring;pricing;risk management,data storage;digital age;incredible data amounts;price;process automation;risk;small spaces,,0,,10,,,,22-26 July 2012,,IEEE,IEEE Conferences
A variable length fast Message Authentication Code for secure communication in smart grids,R. Sule; R. S. Katti; R. G. Kavasseri,"Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND 58105 - 5285",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"We propose a variable length Message Authentication Code (MAC) scheme for secure communication between Automated Metering Interface (AMI) devices and collector nodes in the smart grid. We prove the security of this scheme and analyze its performance with respect to three attributes namely: (i) communication overhead, (ii) verification delay and (iii) memory usage. The proposed scheme reduces the time for verification by at least two orders compared to existing hash based authentication protocols. The scheme thus provides an efficient solution to support high frequency exchange of large volume messages.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345622,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345622,,Authentication;Delay;Message authentication;Polynomials;Resistance;Smart grids,cryptographic protocols;message authentication;metering;power system security;smart power grids,AMI device;Hash based authentication protocols;MAC scheme;automated metering interface device;high frequency exchange;memory usage;secure communication;smart grids;variable length fast message authentication code scheme;verification delay,,2,,10,,,,22-26 July 2012,,IEEE,IEEE Conferences
Smart alarm and event processing,A. Vivaldi; C. H. V. de Moraes; C. I. de Almeida Costa; G. Lambert-Torres,"EDP - ESCELSA Espirito Santo Power Company, Vitoria, ES, Brazil",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"Smart alarm and event processing is a tool to aid decision-making for the operators during the electric system monitoring in real time. The main function of this processing is elimination of secondary and unnecessary information while important data are highlighted to the operator during any failure or malfunction monitored in the electrical system. This processing is composed of four main parts: a rule-editor, an event-classifier, a rule-extractor and a rule-assembling. The two main parts composes a program named FASE, which runs in the control centers. The two last parts composes the program named EASE which produces rules for FASE. Currently the EDP-ESCELSA Power Distribution Company uses for monitoring of your electrical system the platform, named SCATEX, developed by EDP Group in partnership with the EFACEC Group. The SCATEX is a SCADA system, integrating supervision and control of electrical systems. This paper presents de the development of the four main parts of the program, with some practical examples from the ESCELSA database.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345170,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345170,Alarm processing;data analysis;data mining;granular computation;intelligent systems;power system operation,Companies;Data mining;Databases;Dictionaries;Expert systems;Monitoring;Substations,SCADA systems;decision making;failure analysis;power distribution control;power system measurement,EASE;EDP group;EDP-ESCELSA power distribution company;EFACEC group;FASE;SCADA system;SCATEX;control centers;decision-making;electric system monitoring control;event processing;event-classifier;failure analysis;rule-assembling;rule-editor;rule-extractor;smart alarm,,1,,5,,,,22-26 July 2012,,IEEE,IEEE Conferences
Gene expression programming for static security assessment of power systems,H. M. Khattab; A. Y. Abdelaziz; S. F. Mekhamer; M. A. L. Badr; E. F. El-Saadany,"Engineering for the Petroleum and Process Industries (ENPPI), Cairo, Egypt",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"In this paper, a novel gene expression programming (GEP) algorithm is introduced for power system static security assessment. The GEP algorithms as evolutionary algorithms for pattern classification have recently received attention for classification problems because they can perform global searches. The proposed methodology introduces the GEP for the first time in static security assessment problems. The proposed algorithm is examined using different IEEE standard test systems. Different contingency case studies have been used to test the proposed methodology. The GEP based algorithm formulates the problem as a multi-class classification problem using the one-against-all binarization method. The algorithm classifies the security of the power system into three classes, normal, alert and emergency. Performance of the algorithm is compared with other neural network based algorithm classifiers to show its superiority in static security assessment.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345123,Static security;gene expression programming;line outage;power system classifier;probabilistic neural network;radial basis function neural network;voltage level,Classification algorithms;Gene expression;Neural networks;Power system security;Power systems;Programming,IEEE standards;genetic algorithms;neural nets;pattern classification;power engineering computing;power system security;radial basis function networks,GEP algorithms;IEEE standard test systems;gene expression programming algorithm;global searches;multi-class classification problem;neural network;one-against-all binarization method;pattern classification;power system static security assessment;power systems;static security assessment,,3,,27,,,,22-26 July 2012,,IEEE,IEEE Conferences
Workforce development for the future grid to enable sustainable energy systems,C. Singh,,2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,2,This paper outlines the workforce development thrust in the Power System Engineering Research Center's (PSERC) new initiative funded by the US Department of Energy (DOE) to investigate requirements for a systematic transformation of today's electric grid to enable high penetrations of sustainable energy systems. There is a projected shortage of workforce for this objective and this workforce will need to be educated with a different set of skills and tools than has been done in the past. It is this workforce that will produce innovative ideas and transformative changes needed to orchestrate a clean and sustainable energy smart grid. The relevant education of this workforce is recognized as critical to the success of the future grid. University faculty can best play their role in this work force development through filling the needs of its education. This thrust has six tasks aimed at both the breadth and depth of education needed for the emerging grid.,1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344849,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344849,Future Grid Initiative;PMU;PSERC Academy;infrastructure security;market integration;reliability evaluation;renewable integration;wide area control,Educational institutions;Libraries;Materials;Security;Smart grids;Videos,power engineering education;smart power grids;sustainable development,DOE;PSERC;Power System Engineering Research Center;US Department of Energy;electric grid;sustainable energy smart grid;sustainable energy systems,,1,,2,,,,22-26 July 2012,,IEEE,IEEE Conferences
Reliability analysis of cyber security in an electrical power system associated WAN,M. Wei; Z. Chen,"Department of Energy Technology, Aalborg University, Pontoppidanstr&#x00E6;de 101, Aalborg, DK-9220, Denmark",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"Since increasingly applications and involvement of communication technologies in electric power utilities, especially for the protection and control of the power system, cyber security has become a more and more important issue. This paper provides a complete picture for the framework of an electrical power system associated data communication system. A Wide Area Network (WAN) interconnects a number of Local Area Networks (LANs), representing transmission and distribution substations, and customers. Based on this framework, the cooperation of the communication system and the power system is investigated, regarding before, during and after cyber attacks. Finally the possible impacts of the performance of the data communication system to the protection and control systems within the electrical power system are discussed.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345533,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345533,IED;ISO reference model;LAN (Local Area Network);WAN (Wide Area Network);cyber security,Computer security;Data communication;Local area networks;Substations,computer network security;control engineering computing;electricity supply industry;local area networks;power distribution control;power distribution protection;power distribution reliability;power engineering computing;substation automation;wide area networks,communication technologies;cyber attacks;cyber security;data communication system;distribution substations;electric power utilities;electrical power system associated WAN;electrical power system framework;local area networks;power system control;power system protection;reliability analysis;transmission substations;wide area network,,6,,16,,,,22-26 July 2012,,IEEE,IEEE Conferences
The role of system reliability in Southwest Power Pool Integrated Marketplace,X. Wang; J. Wan; S. Gupta,"ALSTOM Grid, Redmond, WA 98052, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,1,"Summary form only given. As a Regional Transmission Organization (RTO), Southwest Power Pool (SPP) is mandated by the Federal Energy Regulatory Commission (FERC) to ensure reliable supplies of power, adequate transmission infrastructure, and competitive wholesale prices of electricity. In order to further improve system reliability and competitive wholesale electricity prices, SPP is moving from its current Energy Imbalance Service (EIS) Market with multiple Balancing Authorities (BA's) to a consolidated BA and an Integrated Marketplace, which includes Energy and Operating Reserve Markets and Transmission Congestion Rights Markets. This paper discusses how system reliability is considered in Day-ahead (DA) to Real-time (RT) business processes of SPP Integrated Marketplace, from both market design and market management system implementation perspectives. These business processes include: (1) Day-Before-Day-Ahead (DBDA) Reliability Unit Commitment (RUC) (2) Reserve Requirements Calculation (3) DA Market (4) DA RUC (5) Intra-Day RUC (6) Real-Time Balancing Market The ultimate goal of SPP Integrated Marketplace is to find the most economic solution to ensure system reliability, which is modeled as resource capacity adequacy and transmission security constraints in market clearing. Similar to other LMP based wholesale electricity markets, SPP adopts Security Constrained Unit Commitment (SCUC) and Security Constrained Economic Dispatch (SCED) in its new market design, which take into account N-1 grid contingency constraints in linear form for congestion management. In MMS design, Simultaneous Feasibility Test (SFT) is performed to capture transmission security constraints in DA market processes, while Real-time Contingency Analysis (RTCA) of Energy Management System provides real-time security constraints for RTBM clearing and pricing. Market power mitigation is conducted for each market clearing process to prevent from market participants abusing market power when comm- tted or dispatched out-of-merit due to reliability reasons. Resource offer cap decision is made via market behavior test, market structure test, and market impact test that are conducted in DA market, RUC and RTBM. One unique process designed for reliability in the Integrated Marketplace is the Reserve Zone Requirement Calculation. SPP establishes Reserve Zones to ensure the deliverability of cleared Operating Reserve throughout the SPP Balancing Authority Area (BAA). SPP calculates the amount of Operating Reserve required for the Operating Day, on both a system-wide basis and a Reserve Zone basis, to comply with the reliability requirements specified in the SPP Criteria. SPP calculates the hourly Regulation-Up, Regulation-Down and Contingency Reserve requirements on an SPP BAA basis and calculates minimum Operating Reserve requirements and maximum Operating Reserve limitations for each Reserve Zone. Reserve Zone Min and Max are calculated by simulating the outage of the largest generators in each zone and dispatch reserves according to historical reserve deployment patterns. Another feature in the Integrated Marketplace that helps operators to ensure reliable grid operation is the Pre-RTBM process. Pre-RTBM is a multi-interval Look-Ahead (LA) SCED that can provide operators with the recommendations for Out-of-Merit Energy (OOME) to pre-ramp or pre-position resources for future system events, such as load pick-up, wind or interchange fluctuation, etc, in order to avoid potential capacity shortage and reduce the startup of expensive fast-start generators. In summary, SPP Integrated Marketplace design and implementation take system reliability as the first priority. It brings economic benefit to market participants and reduces the â€œup-liftâ€ù payment caused by reliability assurance.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345215,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345215,Competitive Electricity Markets;Power System Reliability;Southwest Power Pool,Electricity;Power markets;Power system reliability;Real-time systems;Reliability;Security,energy management systems;power generation dispatch;power generation scheduling;power grids;power markets;power system security;power transmission economics;power transmission reliability,BAA;DA business process;DA market;DBDA-RUC;EIS market;FERC;Federal Energy Regulatory Commission;LMP based wholesale electricity markets;MMS design;N-1 grid contingency constraints;OOME;RT business process;RTBM clearing;RTBM pricing;RTCA;RTO;Regional Transmission Organization;SCUC;SFT;SPP balancing authority area;SPP integrated marketplace design;Southwest power pool integrated marketplace;balancing authority;competitive wholesale prices;congestion management;day-ahead business process;day-before-day-ahead reliability unit commitment;energy imbalance service market;energy management system;energy-operating reserve markets;expensive fast-start generators;intraday RUC real-time balancing market;market behavior test;market clearing process;market design;market impact test;market management system;market power mitigation;market structure test;multiinterval look-ahead SCED;out-of-merit energy;real-time business process;real-time contingency analysis;reserve zone basis;reserve zone min-max;reserve zone requirement calculation;security constrained economic dispatch;security constrained unit commitment;simultaneous feasibility test;system reliability;transmission congestion rights markets;transmission infrastructure;transmission security constraints,,3,,1,,,,22-26 July 2012,,IEEE,IEEE Conferences
Observability analysis and restoration for state estimation using SCADA and PMU data,G. N. Korres; N. M. Manousakis,"Department of Electrical and Computer Engineering, National Technical University of Athens, Greece",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"This paper presents a hybrid topological/numerical method for power system observability analysis, using conventional measurements, provided by SCADA, as well as synchronized phasor measurements, provided by phasor measurement units (PMUs). A PMU placed at a bus can measure the voltage phasor at that bus, as well as the current phasors in some or all the lines connected to that bus. Branch power flow and current phasor measurements are used to build topologically flow islands that, in turn, are used to construct a reduced network. A gain matrix associated with this reduced network is built, considering boundary injections at flow islands and all bus voltage phasors. Observability checking is carried out analyzing the pivots in the triangular factors of this gain matrix and observable islands are identified in a noniterative manner, by performing back substitutions. Additional measurements for observability restoration are provided by a direct method, using the triangular factors of a reduced Gram matrix associated with existing and candidate injections as well as PMUs at boundary buses of the observable islands. The IEEE 14 and 30 bus systems illustrate the steps of the proposed method.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345096,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345096,Conventional measurements;Gram matrix;flow islands;observability analysis;observability restoration;phasor measurement units,Current measurement;Fluid flow measurement;Jacobian matrices;Observability;Phasor measurement units;Power measurement;Voltage measurement,SCADA systems;load flow;matrix algebra;phasor measurement;power system restoration;power system state estimation,IEEE 14-bus systems;IEEE 30-bus systems;PMU data;SCADA;back substitutions;boundary buses;boundary injections;branch power flow;bus voltage phasors;current phasor measurements;gain matrix;hybrid topological-numerical method;observability checking;observability restoration;observable islands;phasor measurement units;power system observability analysis;power system restoration;reduced Gram matrix;state estimation;synchronized phasor measurements;triangular factors,,3,,43,,,,22-26 July 2012,,IEEE,IEEE Conferences
Impacts of extreme events on transmission and distribution systems,R. Entriken; R. Lordan,"Electric Power Research Institute, Palo Alto, CA 94304 USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,10,"Extreme events, such as Hurricane Katrina, resulted in widespread damage to the power infrastructure and caused severe outages that affected millions of customers over a period of days. Lessons learned from such events highlight the importance of improving certain utility design practices and emergency preparedness. This paper examines the impacts of extreme weather events, including weather-related impacts on transmission and distribution systems and restoration from floods, winter storms, windstorms, and hurricanes. The paper discusses the effects of heat waves and dry spells on thermal power plants. It synthesizes utility experiences from different storms faced around the globe and includes both lessons learned from actual events as well as EPRI recommendations.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345755,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345755,Electromagnetic compatibility and interference;Power distribution;Power system planning;Power transmission;Risk analysis,Cooling;Electricity;Meteorology;Ocean temperature;Power industry;Power systems;Resistance heating,power distribution;power transmission;storms;thermal power stations,EPRI recommendations;Hurricane Katrina;distribution system;emergency preparedness;extreme weather events;floods;power infrastructure;restoration;severe outages;thermal power plants;transmission system;utility design practices;weather-related impacts;windstorms;winter storms,,3,,89,,,,22-26 July 2012,,IEEE,IEEE Conferences
Improving flexibility and utilization of transmission systems by means of network and protection security assessment and measurement,R. Krebs; Z. Styczynski,"Siemens Infrastructure ans Cities Sector, Freyeslebenstrasse 1, 91058 Erlangen, Germany",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,9,"THE increase of stochastic renewable infeeds to transmission networks as bulk generation of large offshore windfarms or as distributed generation in distribution networks requires new strategies in the system operation. On one hand the transmission capacity of the power systems must be as high, as unplanned dynamics, caused by these infeeds, can be transported without producing system bottlenecks. Such dynamic energy transports occur sometimes over long distances and require operational coordination between different TSOs. On the other hand new indicators, describing the power system stability and the margins to stability limits must be developed and tested, which allow a prediction of the dynamic state of the power system if contingencies would occur.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345037,,Cities and towns;Educational institutions;Electronic mail;Facsimile;Power system dynamics;Power system stability;Security,,,,0,,,,,,22-26 July 2012,,IEEE,IEEE Conferences
Cyber-physical security in a substation,J. Hong; A. Stefanov; C. C. Liu; M. Govindarasu,Washington State University,2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,1,"New technologies including microprocessor-based Intelligent Electronic Devices (IEDs) and standardized protocol and TCP/IP over wide area networks (WAN) are well-adopted in the substations. Remote access to IEDs or user interfaces in a substation for maintenance purposes is a common practice. However, there are potential cyber-physical system vulnerabilities in a substation, e.g., unsecured standard protocols, remote controllable IEDs, and unauthorized remote access to substation IEDs. In addition, some substation IEDs and user interfaces have a web server and hence it may provide a remote configuration change and control with default passwords. Even if firewalls and cryptography schemes are used for cyber security, weak security key management cryptography and mis-configured firewalls are still exposed to intruders. From IT point of view, cyber security issues are well known and new security technologies are available. However, security research on the integration of IT and physical power systems for critical infrastructures is still an emerging area. Intruders behaviors will generate logs across all substation-level networks, e.g., IEDs, firewalls and user interfaces. For instance, the steps of Stuxnet attack are based on: (1) intrusion attempts, (2) change of the file system, (3) change of target systems setting, and (4) change of target systems status. Therefore, anomaly detection is performed based on logs of intruders foot prints. Temporal anomaly can be determined from discrepancies between event logs from two different time periods. In the proposed anomaly index, a value of 0 implies no difference, whereas 1 indicates the maximal discrepancy [1]. In order to identify the impact of substation cyber intrusion to the power grid, cyber intrusion scenarios have been conducted on the substation IT network using a SCADA testbed at University College Dublin (UCD). The first intrusion scenario involves compromised substation gateway. A false signal is generated and - n open circuit breaker (CB) command is sent to substation CBs. The second scenario is to generate forged CB status at the gateway. As a result of this attack, control center operators will observe fake data about the CB status. However, the actual substation CBs status has not changed. The third scenario is to generate fabricated analogue values to a control center using a man-in-the-middle attack. Once an intruder successfully compromises the substation LAN, (s)he is able to monitor and capture all measured data which comes from power grids. If attackers send fabricated data to the control center and the data travel through the state estimation filter, control center operators will observe an operational emergency. As a result, the operators may take emergency control actions such as reducing the generation voltage or reactive power while the power system is actually in a normal condition. There is a possibility these (logical) actions based on fabricated data will drive the system into a sequence of cascading events, leading to a power outage. Mitigation actions are conducted on substation IT and power grid. For IT mitigation, intrusion detection system (IDS) which uses anomaly detection algorithm based on temporal event construction has been used in a substation network. An Optimal Power Flow (OPF) algorithm with an objective function that minimizes load shedding in the grid is used for power system mitigation. The proposed collaboration scheme between IDS and the firewall is able to disconnect intruders in the substation network. Emergency control actions are taken to mitigate the effects of cyber intrusions as an attempt to restore a system back to a normal condition.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345766,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345766,,Circuit breakers;Computer security;Educational institutions;Substations;User interfaces,Internet;SCADA systems;cryptography;firewalls;load shedding;microprocessor chips;power grids;power system security;substations;transport protocols;user interfaces;wide area networks,IT mitigation;SCADA;Stuxnet attack;TCP/IP;Web server;anomaly detection;control center operators;cyberphysical security;emergency control;firewalls;intruders foot prints;intrusion attempts;intrusion detection system;key management cryptography;load shedding;man-in-the-middle attack;microprocessor based intelligent electronic devices;objective function;open circuit breaker command;optimal power flow algorithm;power grids;power system mitigation;remote access;remote configuration;standardized protocol;state estimation filter;substation cyber intrusion;substation gateway;user interfaces;wide area networks,,2,,1,,,,22-26 July 2012,,IEEE,IEEE Conferences
Privacy and confidentiality in Cyber-Physical Power Systems,B. McMillin,"Department of Computer Science at the Missouri University of Science and Technology, Rolla, MO, 65409",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,3,"Cyber-Physical Power Systems consist of significant cyber components that mange the physical electric power infrastructure under distributed control of power electronics devices. This represents a departure from more centralized SCADA-type control. NERC Critical Infrastructure Protection standards emphasize the need to protect the power infrastructure from both cyber and physical attacks and recent NIST documents also emphasize the need for privacy and confidentiality in both the AMI smart grid. The physical flow of power, the flow of sensor readings through network traffic, and the cyber computation all contain information. The combination of these information flows presents new challenges in securing cyber-physical power systems. These challenges and potential solutions are outlined in this paper.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345667,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345667,Distributed Computing;Power Electronics;Security,Load flow;Observers;Privacy;Security;Smart grids;Standards,SCADA systems;centralised control;data privacy;distributed control;load flow control;power system protection;power system security;smart meters;smart power grids,AMI;NERC Critical Infrastructure Protection standard;NIST;centralized SCADA type control;confidentiality;cyber attack;cyber component;cyber-physical power system;distributed control;network traffic;physical attack;physical electric power infrastructure protection;power electronics device;power flow;privacy;smart grid,,1,,8,,,,22-26 July 2012,,IEEE,IEEE Conferences
